filename,caption
Y1vCYiVvZ7VE.wav,An adult female speaks in a quiet environment
Y1L_OyngNZMA.wav,"Male speaking, laughter and shouting and clapping"
Y1FNJbN-eHY4.wav,Someone burps and then laughs
Y-Sz4z0QwEuM.wav,A long burp ends in a sigh
Y1a2XWJ8NA_Q.wav,Clicking and sputtering of a running engine with people speaking and wind blowing
Y--0w1YA1Hm4.wav,A vehicle driving as a man and woman are talking and laughing
Y_duNX6Vyd6g.wav,A speedboat is racing across water with loud wind noise
Y1Uh74_rZ72k.wav,Metal shuffling followed by plastic clicking as wind blows into a microphone
Y_z6pymOet7g.wav,A man speaks followed by a toilet flush
Y0rSETXszQM0.wav,Motorcycle starting then driving away
Y1wW0YJQ-Xa0.wav,A group of people talking in the background as compressed air sprays while a tin can rattles followed by a man talking
Y_9mgOkzm-xg.wav,A man talking while wood clanks on a metal pan followed by gravel crunching as food and oil sizzle
Y0qbHT34qTZE.wav,A group of men speaking as cannons fire while rain falls and water splashes followed by thunder roaring
Y0fMXnvD38zI.wav,Waves roll slowly and water swirls as the wind blows
Y1PvMtRIlZNI.wav,A stream of water trickling as plastic clanks against a metal surface followed by water pouring down a drain alongside a camera muffling
Y1_z6NcidGzM.wav,Splashing water with children speaking and people screaming with a distant blow of a whistle
Y_C2HinL8VlM.wav,Police car siren starts with two horn blasts then becomes a high pitched wail
Y-EQByFLFqig.wav,A man speaking as rain lightly falls followed by thunder
Y_YS5uKWoB6g.wav,A kid crying as a man and a woman talk followed by a car door opening then closing
Y-CcGuq0yoKo.wav,A woman is speaking from a microphone
Y0NGSrwioYjA.wav,There is a mature male talking to some animals
Y2JutOgAnqWA.wav,Humming and vibrating of a power tool with some high frequency squealing
Y_xylo5_IiaM.wav,A woman talks and a baby whispers
Y2JV3emH50XU.wav,A car is passing by with leaves rustling
Y-R69Fa-mCaY.wav,A chainsaw cutting as wood is cracking
Y1IoHRTUp86c.wav,"A woman speaks briefly, and a muffled engine rumbles"
Y0yETgW44MZU.wav,A sudden horn blare as a train passes
Y2a6GNu6uCDE.wav,A woman is speaking over a microphone
Y1GgEpRZDWN0.wav,A woman and a man talking as another man talks softly and papers shuffle in the background
Y0Rpjl1AO-P0.wav,A car engine is revving while driving
Y1j5NMuq1X30.wav,Loud humming followed by hissing
Y3kBlVLkN0zo.wav,A muffled man talking as a goat baas before and after two goats baaing in the distance while wind blows into a microphone
Y3ejndVEAcmQ.wav,A cat meows and hisses
Y-BUWGM7qeUM.wav,Wind is blowing and heavy rain is falling and splashing
Y-NsC63dA01g.wav,A cat meows and a woman speaks
Y_oKXrY5Ff0g.wav,A woman talking followed by a group of people laughing as plastic crinkles
Y2UNuMbxz9ds.wav,A vehicle engine revving then accelerating at a high rate as a metal surface is whipped followed by tires skidding
Y-NrFeH-kBSM.wav,A gun cocking then firing as metal clanks on a hard surface followed by a man talking during an electronic laser effect as gunshots and explosions go off in the distance
Y-EaZ7EJJUl0.wav,A man speaks with some clinking and clanking
Y1OyEgzXCkYE.wav,An adult male gives a speech
Y0a9wVat2PWk.wav,A train sounds horn while traveling on train track
Y1HCuBnPLMqQ.wav,Plastic clacking followed by as person breathing then liquid pouring into containers
Y0G7rb74R-2A.wav,A man speaking on a microphone as a crowd of people laugh followed by glass clinking
Y0On6-JiVwRs.wav,Cats meowing and then wind
Y1WTSW96XP6E.wav,A man is speaking followed by a tap and motorcycle turning on
